text,label
"I love this shirt! great fabric, nice quality, flattering fit. i have gotten this shirt in 4 colors. my only complaint is that the color names do not match the actual color.. not sure who named these. the orange is a lovely burgundy, and the white is actually oatmeal.",positive
"I recently purchased this tunic and love it! its not to big, hangs just right, arm holes are not to big and the material is very comfortable! looks great with white jeans, shorts, or just jeans. i will get a lot of wear all year round! fits true to size. oh, slimming too!",positive
"I love this top, it's design is very pretty and like nothing that i have. i think this top runs true to size, i'm usually an xs/s in tops and i went with the s for this one and it fits great. i will say that the top layer of material will snag very easily, so while wearing it you have to be very careful!!",positive
"Love this sweater! it's really flattering, long and lean, though not tight, just the right amount of shape and length for my size. i run between and 8 and a 10, and i'm about 5'8"", i ordered the medium. i love the contrasting knits of the sleeves and body of the sweater. i only wish it came in more colors, i'd order it again!",positive
"I wanted to like this so much. it's a great good girl dress, church dress. however, it makes no sense. it's a summer dress with massively thick lining that snags i'm petite and busty and it made me look and feel very wide.",negative
"I'm normally a size small, but the store only had a large. i tried it on and it still fits great as an oversized button down for a threw-on-my-boyfriends-shirt kind of look. i wear it tied in a knot with leggings.

the shirt is so so so soft and high in quality.",positive
"Just bought this at the store. just to be safe, i thought i would try it on before ordering just to confirm the size. that was a good idea. ( i am a 38b, 5'9"", and have variable results with trying to order with the size charts.) the large looked nice but was slightly too large in the chest. when directly compared to the medium, it seems the major difference is the length-- the large was > 1"" longer than the medium. i did not find either to be itchy and the construction seems totally ok.",positive
I love white for summer and by august i am tired of wearing sleeveless...so this caught my eye. it is very easy to wear and pretty on. i wore it with black tie up shoes and accessories. super comfy & stylish.,positive
"I bought this in purple and then just now in navy.i love the sleeve length and neckline. this shirt is made of a very soft knit material a so its very comfy and flattering. goes well with jeans, shirts and shorts. i definitely recommend purchasing this shirt.",positive
"This is probably a blouse for curvy women. with that i mean large breasted. i am a 40d and the xl fits well and the cleavage is in the limit of ok for the office. the bottom is a little too large but not too long. however, the fabric feels extremely comfortable and it stretches but it doesn't lose the shape. i am tempted to buy 2 more. if you are thin, you probably need to size down.",positive
"I normally wear a medium in retailer dresses, but ordered a small due to the reviews that stated how large this dress is. they weren't exaggerating!!!! the small was way too big for me, and the xxs and xs are already sold out. beware that you will have to size down at least 2 sizes to make the dress fit similar to the model pictured. it is going back for me!",negative
Just tried this on in store. the color in the photo is wayyyyy off. it's a hunter green and dark navy zigzag. for maeve it runs large. i am usually a medium or a 10 and a s worked best. i'm a 36d and there was no pull at the bust. will pick up when on sale (bc a hundo for rayon is laughable).,positive
"I ordered the stress in an xl. i usually wear a size 12 in most retailer clothes. the pattern and the flow of the dress is very beautiful but it runs extremely small. also, i felt that i was choking. it is better suited for thin women.",negative
"I love these jeans. at first, i was unsure of what shoes to wear with the length of the crop. i don't wear block high heels ( as pictured) everyday chasing after my boys. but once i figured out which shoes looked cute i was in heaven. the fit is very flattering and it will be a great jean for everyday fun!",positive
"This blouse is exactly what i wanted and the fit is great. silk is always light, and can go with jeans or dress up with a skirt. i'm wearing mine to a baby shower in a few weeks.",positive
"I love all jeans by mother, they are well made, fit great and look so cute with any type of shoes from heels, to flat to boots. these jeans are perfect to wear out or when paired with a blazer can be worn to work. i love these and have them in almost every color.",positive
Very happy with this top! love the design--very different. also like that the front panel is different fabric. buttons also are a fun detail. great shirt to transition from summer to fall. i usually wear xs or s--ordered this in xs and perfect fit. going to be a favorite.,positive
"I'm a 32dd, so i wouldn't normally wear a bralette out of the house (not enough support). this bralette is actually very supportive and comfortable. i'm probably going to get at least one more. for reference, i'm a 32dd (small back, big boobs) and a small fit me extremely well.",positive
"I love the length of this top and i love tops that don't cling in the tummy area. it fits well and the crochet detailing is nice. for reference, i'm 5'.4.5"", 150 lbs, 34dd and the m fit me well. since i'll be wearing this with leggings mostly during colder months, this top is a little bright and the material is not meant for cold days. since i live in texas, i can get away wearing it even in colder months.",positive
"I ordered the petites hoping the length would fits ankle length but htey do go all the way down. on a muscular bottom/thighs, these a snug, on the model they look loose, but i still do like them. to wear with longer tops... i ordered 25p for 115lbs.",positive
"I love the design on this top. it's a little thin, but it's held up great with a few washes.",positive
I love this coat. it was a great purchase and i would reccomend it to others. it looks great with layers and is comfortable for 30-50 degree temps. definitely size down when buying.,positive
"I loved this dress when i saw it in the store. the colors, weight, fabric. love. love. love. 
unfortunately i have to agree with other reviewers, the pockets and the positing of the draw string made my hips look unflatteringly large. i tried on a size 0 petite, which is my usual size. all flowed nicely except for when you get to the pockets. truly disappointed as it was beautiful in every other way. but in the end, i had to pass.",negative
"I'm tall with long legs, long arms, and a small chest, and the medium fits me almost perfectly. i love the long sleeves (sleeve length is always a challenge for me) and how the coat accommodates my broad shoulders. my only problem is that the belt wraps around my lower ribs and looks odd. if i can get the belt loops lowered 1.5-2 inches, it will be perfect. if i can't, i'll return it because the coat looks much better with the belt tied if it's buttoned up. one small point: the coat arrived incr",positive
"Lightweight and cute. these pants do run on the larger side, which is fine is you like a more relaxed look. i usually wear a 10-12 in pants and i had to exchange the large for a medium which fit much better. great for summer weather!",positive
"Like the other reviewer said this top is extremely wide and boxy. it must be pinned in the picture online. it's very frustrating when they do that. thank goodness i didn't pay for shipping! for reference, i'm 5'2 and 135 pounds and bought the xxs, it's going back for sure. i'm trying to lose baby weight, not trying to look pregnant!",negative
I feel really cool wearing this skirt :-) a nice alternative to the jeans that are my standard uniform. loooks great with short boots. i'm wearing it as i write this review--and was wearing it all day. awesome skirt!,positive
"I loved this dress and wanted to use it for work. i read the reviews and saw all the issues with the slip and was nervous, but i tried it anyway and figured i could use another plain black slip i have if the one with the dress didn't fit. i'm really happy i did because it's a gorgeous dress. you just may need to wear a different black slip with it (i did). if you already have one, it's no additional hassle or cost and the dress is really unique. it's the perfect comfortable but stylish dress for",positive
"I am so drawn to baby doll and boxy shirts so i immediately tried this on in the store. i am petite and only 5'2"", so usually shirts with a lot of fabric swallow me whole but this one was still cute. there is a lot more fabric than the picture lets on, but i think it is still super cute and flattering. i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type. i am petite and weigh about 110 lbs",positive
"Found this lovely dress in store and wanted to try it on. fits true to size everywhere except the bust. i am a size 2-4 with a 34dd bust. i can normally fit most retailer dresses no problem though. this one was very very very tight just in the bust and squished my chest to be a very unflattering shape.

i am 5'4 and the length was perfect just above the knee, for a youthful but work appropriate length.
i am a relatively fit but hourglass curvy lady, but certainly not a 'perfect' beach body and",positive
"I ordered the mustard shade in size xl. it is so well-made & comfortable. the patterned lining makes it extra cute and extra soft to wear. it's washed well too. i like the shorter length. it it fun to play with proportions when using it. i ordered the navy in xl since i've gotten such great use out of the yellow one. it hasn't shed/pilled either. well-made, quirky and useful for layering!",positive
Beautiful and chic. so glad i tried it on!,positive
"These jeans are very comfortable. the distress look is enough but not too much, so it is a nice change to the traditional jeans without looking too worn down.",positive
"I bought this in store without trying it on. bought my typical size xs. the armholes are cut very low, as is the front neckline. it has an overall slightly slouchy fit. i definitely could not wear this to work without a camisole underneath. otherwise, i really like the style, and the black and white striped color way will go with alot.",positive
This is a beautiful dress! not too interested in yellow but needed it for a wedding this summer. i usually wear a large but returned it for a medium - the large armhole was a little too big. super comfortable and easy.,positive
Looks great with jeans for a more bohemian look.  i normally wear a medium but went large to accommodate a 6 month pregnant belly.  the blouse is loose enough i probably could have stayed with the medium.,positive
"I have a sillier style sweater from moth that i got last year and love. this is not as great, but i like the style so i will keep it. i knew the sleeves would be shorter, but wish they were made full length with a little less ""bat wing"". the color is close to as shown- maybe a little lighter. i was hoping for more of a navy since that is what they are calling it- but this is more of a denim blue.",positive
I'm so glad i tried this dress on to see how lovely it is. definitely a keeper!,positive
Absolutely perfect staple top to have in your wardrobe. fits very nicely. not see through at all. highly recommend this top.,positive
"I have been looking for a good red cardigan for some time now. this one perfectly meets my needs, and now i want it in more colors. the sweater has a nice cut, and it is very soft and comfortable. i know this will be a go to staple piece in my closet.",positive
"These ag stevie ankle jeans only have 50% cotton.tthe rest is 41% lyocell (a rayon), 7% polyester, and 2% polyurethane. result: thin and clingy jeans that show every lump, and stretch out. 
.
these are no longer the same lovely ags in twill when they were at 80% cotton, 18% modal, 2% pu. it seems ag has also stopped making denim and corduroy with 98% cotton, at least in the stevies.
.
i'm sure these will be a great choice for someone looking for very soft and thin pants that feel like pjs, b",negative
"This is a beautiful dress and it was hard to let it go but, unfortunately, because the fabric is a little stiff, it accentuated my curvy back side in a bad way. it will definitely look great on someone with a smaller bottom. i tried the xs and did not experience the issues that other reviewers mentioned, such as the large arm holes.",positive
So nice. lightweight flannel with precious contrasting gingham cuffs. will look stylish on all heights. very impressed with the styling and construction. fits slightly larger than tts but figured that was to account for potential shrinkage.,positive
"Love this top! i receive so many compliments wearing it, even from my teenage boys! runs large, but that's the style of it, very flowy. very flattering.",positive
The design of these is adorable with the lace up ties however they are a dingy looking off white color. they are also pretty see through. returned.,negative
"I have been looking for leather or faux leather pants for a while, and these look great. they are more expensive than other faux leather pants, but the quality is much higher. i'm glad i didn't buy the cheap ""leather look"" pants i keep seeing. the only caveat is that they do run small, like the other reviewers said. i am a 27 pretty consistently in this brand, but i got the 28. they fit perfectly. because of the material on the back, they do not lose their shape, either. highly recommended.",positive
"I honestly bought this shirt on a whim the other day in my local retailer. i was drawn to the color and the swing. first of all, this shirt is incredibly soft and lightweight. i love the flow of the loose peplum. the straps are nicely placed, because they're wider and accentuate my arms (and cover my bra straps). i love the little v neck detail. it shows a little cleavage when bent or hunched over, but the top stays conservative when truly upright. i wore this shirt 3 days in a row last week, and",positive
"Just grabbed this today! great find. i paired it with a white blouse with blue polka dots....will pair with anything though, with great neutral colors. white or blue jean jackets, sweaters....the skirt has a little stretch for my hourglass figure, but would work with any type body i think. a many season skirt, perfect for traveling.",positive
"I have no where to wear this pretty spring time inspired dress.  fits just as pictured, except that i'm short.  i ordered the 10p so my 36dd chest and wide rib cage fit comfortably.  i'm saving this dress for easter or a fancy bridal shower.",positive
"This brand always makes the softest tees, and so i buy several each season. when i saw this one online, i worried that it might be too long for my short waist, but i decided to order it anyway. success! i ordered my usual size m (for knit tops - 10/12 in fitted ones), and the length was perfect due to the buttons on the side.
fyi: short waist, broad shoulders/back, 36c - i carry my weight in the middle, since i virtually do not have a waistline. so a longer, boxy tee will emphasize the parts of",positive
Colors are very vibrant! lays very nicely on the body.,positive
"Fun take on the white shirt- it is flattering and fun. and yes- very soft material so comfy!
but as others have stated, the material is very thin so your full bra outline will show- or you throw on a cami.",positive
"I was somewhat hesitant to purchase this dress, based on the previous reviews. for me, it fit perfect. the blouse was fine, not too much fabric. the skirt is soft and stretchy. the fit was tts. for reference, i am 120lbs, 34c and i purchased the 4p. it fits great!",positive
"Likes: colors, the design of the flower is very pretty, the color-blocking is a nice touch and in this season, but, it is pretty short.

i bought thh petite right off the bat as i assumed i would need that, but i really dind't. it ended up beign too short.

#/4 sleeves always flattering, but hte cut is meant to be comfy, i think it would have looked better on me if it was a little more hourglass hsaped (if that makes sense#.

i am usually xs, and that was fine, so buy your usual size ok #one siz",positive
"Saw this in the greenville, sc store, and it caught my eye. i ordered a petite a week later, and i adore it. nice embroidery. a little sparkle. the sleeves are voluminous, but it makes me feel sassy.",positive
"Gorgeous detail on the sleeve. adorable pattern. unfortunately, it is a little too cropped & it's not actually sleeves. it's a cape style. wasn't expecting, but still really cute.",positive
"I was worried at first that the metal leaves would come off easily. i was pleasantly surprised after a day at disneyland, i don't think i lost even one of them. this dress is super fancy but very comfy.",positive
"I bought this in the white, size m (140lbs., 5'8"", 34b) because i wanted a baggy fit, which i got, so this is tts. the white is more of an off-white rather than a bright white, which i like because i happen to be looking for an off-white tee. and the shape is good--even in a larger size, this tee nips in at the waist.however, the quality of this tee is lacking, as it is the typical, cheap, marled, slightly see-through material that seems to be everywhere these days and the band on the back of th",negative
"I love these jeans. they're incredibly soft, super comfortable and hold their shape. i can wear them for hours on end and i don't get that droopy, snagging look jeans can get when they stretch out. 
 

fit: i am normally a 29/30 depending on the jean. i took these in the 30 - i usually have a difficult time finding skinny jeans that fit my legs and don't fall off my waist. these have enough give to accommodate my larger legs, but the material holds well, so i don't need a belt to keep them up",positive
"This is a great cardigan to wear buttoned or open. the fit is perfect; it is fitted and looks great with jeans, skirts or over a sleeveless dress. love the little detail of lace to show skin. fabric has lycra so it hugs your bodice just enough!! love it.",positive
"I have this in darker blue and it is my favorite dress of the season. i didn't realize that there was one in turquoise until it was already sold out. please bring back or be so kind to contact me if an xs comes in as a return, etc. 
i love this so much!",positive
"This green dress seemed more fitted and tailored on the model. i ordered a small and medium in the green and mint (even though it says mint, it's a grayish blue). usually i'm a medium but even the small seems a bit big. it fits more like a loose boho dress rather than how the model wears it. the colors are vibrant and the embroidery is nice. i will be keeping both colors in small and just have to accept that the fit is similar to a looser casual summer dress. if you look at the pics that other c",positive
"This top fits tts as shown on model. loose, flowy but the cut/details/flounce still give some nice shape. i usually take a s or m at retailer depending on the style/make. went with the small in this. i am 5'5"",narrow shoulders, ruler shape 34dd. no gaping in the front. fits gracefully flows with details that are classic and add the wow factor to this social or work appropriate top. so complimentary, it would flatter many body types. the neckline is juuuuussst right, i fasten the top button to make",positive
Tts and comfortable. this t shirt brings flair to everyday wear and i purchased on sale for a steal!,positive
"This is a great dress that looks better in reality than it shows on the website. the style is very flattering, fitting snug at the waist with just the right amount of flare. i am 132 pounds, 34dd and i bought a size 8 and it fit great. the material is soft and flowing and the cut was true to size for me. the first time i wore it a woman walked across the restaurant to tell me how much she loved my dress. this one is a keeper.",positive
"Unlike one comment below a review on here who stated it felt childish, i didn't feel this way at all. i'm a sucker for anything white with tulle and soft colors and a bit of bling :) here's my thoughts:
-------------------------
pros:
- very soft with good amount of stretch.
- tulle bottom is exactly as pictured. i disagree with another reviewer who said the color was more of taupe; it is not. this is pink/nude shade all the way.
- runs tts. i'm a 36c, hourglass, 5'9"" and found the medium to be",positive
"I ordered this jacket to complement the larkin dress by moulinette soeurs, which i planned to wear to a funeral. the pair together were perfect. the jacket added just the right touch in fashion and practical warmth on a sunny but chilly february morning in alexandria, va. i ordered my usual size and it fit perfectly, if not a tad bit large. but then i'm not very tall so occasionally items have more material than i need. but i never worry about that since it doesn't usually affect the lines of th",positive
"I purchased the navy breton stripe version of this shirt. it's chic, versatile, and soft, a great rendition of a wardrobe classic.",positive
This jacket is stylish and unique. love the lines and the fit is very flattering.coral is a bit more orange/dk. peach than what i think of as typical coral. fun color for spring. i sized up from my typical s to m.,positive
"I have been wanting this coat ever since i tried it on in the store a month ago. it's beautiful and well-made. it fits tts, but a snug tts, so if you are between sizes, i would order up. grab this asap while the price is right and it is still available!",positive
I put on this t-shirt and my husband said it makes you look old. he was right. i'm not sure if it's the cut or the pattern but i found it completely unflattering on my petite frame and it looked cheap too. perhaps on someone else it would look different. the pattern is overwhelming and the sleeps are a bit too look and ruched for my liking. it may look better on someone taller.,negative
Runs large and it also had a small hole in the back had to return it.,negative
"This shirt looked so perfect on the model, and i was so excited to get it! when i received it, it was so soft and the color was so vibrant. the only thing is, it's too big. it kind of looks like a maternity shirt. it will definitely have to be taken in on the sides for me, but i'm happy with it other than that. i'm normally a l/xl but m would have been perfect this time.",positive
"I've been looking for a mid-weight, shrug-on cardigan for a while now and i've finally found the one! as a petite (5'4"", 130 lbs) lady with big boobs, i hate clingy cardigans with buttons since they are just so unflattering. 

luckily this cardigan is warm without being stifling, fitted in the sleeve without being impossible to wear over clothes with different-length sleeves, and perfectly cut to slim even thought it is shrug-y. i especially like the back details, which are even more curve-fla",positive
"These leggings are a quality product at a great price! i ordered these for my daughter and she loves them. warm and comfy, she wears them all the time.",positive
"This dress is super cute and has the most striking color (i got the blue). i just love it. it's comfortable and flattering and hits me in all the right places. i am a petite girl and normally wear a 0 or 2 in retailer dresses, and, as the other reviewers mentioned, this runs small, so a 4 was what i needed, and even the 4 does not leave any wiggle room. that said, i like my dresses to fit sort of snugly so it works for me. i highly recommend it overall - the quality, cut, color, and comfort all ma",positive
"I'm 5'6"" about 120 and usually a 0/2 in retailer... the size 2 in this skirt fit at my natural waist perfectly with enough room to move comfortably. on the hanger and from the photo i didn't think i'd like it, but once on it's really pretty and the fabric looks so nice, it has great movement, and is really flattering.",positive
"Loved the bright pattern online and had hoped it had a similar fit to the tyla ts which i love. in actuality this was a lot boxier. the cut was shorter in length, too short for my 5'10 frame. the width was rather boxy and unflattering, particularly with the wide arm holes and flat cuffed sleeves. also the pattern looked a little cheap in person, way less spectacular than retailers typical gorgeous vibrant patterns. this is going back i'm afraid.",negative
"This dress is very figure flattering.  however, it is not navy it's purple.  overall nice print, somewhat cheap material and zipper gets stuck.  i am keeping because it's versatile and i like the vintage floral pattern.",positive
I thought the sweater was pricey until i saw it on me. this sweater is really flattering! i chose the grey colored one. i'm smaller on top and this sweater is perfect with the v neck cut out the fabric is also really soft.,positive
"This is a must have for summer. i'm always hot but sometimes a sweater just doesn't look right. the short sleeves are just what i've been looking for. every jacket i own runs smaller on me around the bust and arms, so i think for everyone else, your normal jacket size should be perfect.",positive
"I ordered it with a particular outfit in mind as i liked the purple (burgundy) color. ordered xxsp, as with most t-shirts at retailer, they run a little big. xxs seems to be my new xs (which used to be s!).

color was nice , fit was good too, i just felt not ""special"" enough... but if you are looking for a tshirt, then i say give it a try, as it was comfortable and the shape at least is unusual.

for reference, 115 lbs, 30dd, 26.5 in waist",positive
"Like others are saying, the sleeve and bust are running small.  i found out that when i was trying the blue color one (butterfly).  however, before trying the blue one, i tried the neutral color one at my local store in the same size (s), it fit me perfectly, no issue with the sleeve and bust.  i don't understand why they're different.",positive
Perfect fit and i've gotten so many compliments. i buy all my suits from here now!,positive
"I was searching for an ivory cardigan and i ordered this in my usual size small and an extra small. after trying them both on, the xs looked better, i like a more fitted look. a tad tight i the arms when layered but otherwise would have been a good fit, but the acrylic in this garment was too itchy for me around the neck. i thought this might be the case but took a chance anyway. also the pockets add a bit of bulk in the hip area, definitely not something i want.",positive
"When i saw this blouse online i thought it looked like a great combination of casual with the elegance of an intricate print. i was so disappointed when it came. the print is not centered in the front or the back. it looks like they were trying to save on the material and just cut it out wherever with no thought to symmetry. for this price the detail of centering the design was expected, especially because this is how it appeared in the picture. loved the blouse, but i will be returning it becau",negative
"I just received this in the mail and really enjoy it! it's a nice color and very gauzy/ airy. the only think i didn't love is that it's a little bit in the chest area, which is rare considering i'm usually a m in that area.",positive
These joggers are amazing! they fit true to size if not a bit loose. i purchased my usual small (size 6). the seams are sewn perfectly and the fabric is dreamy. i wore these to work with sandals and was so comfy and appropriate all day in the hot weather. the color is a deep gray and goes with everything! the front panel makes them a bit more fitted and there is even back pockets!,positive
"Received this dress yesterday, love it!
my initial hesitation in ordering this dress, even though it is my fav color....was rather bright for sept..
but loved it and decided to order and wear it next spring.
delighted to open the package and see that the dress is much darker than in the pics...more of a jade green.
it is still a summer fabric/style, however the darker color will be perfect for the warmer fall days ahead.
this dress is beautifully made, superior workmanship, and the fabric i",positive
"I bought this dress to wear to a rehearsal dinner. like other reviewers have said it is a true shift dress. i'm 5'2, 114lbs and the 0 fit me like a glove. it was a little hard to get the top on because the bow is not detachable (wish there was a snap or something) but once on i was in love. i may have to safety pin my bra to the bow so it doesn't show because it kept showing when i tried on. overall a very beautiful dress.",positive
"Usually wear a small, sometimes medium. bought this in medium and am very happy with it. form-fitting but not too tight. would probably fit well in a small, if i was in better shape. it does show any flaws, so the medium is more forgiving. bought the black and am considering the neutral stripe. this is a great, medium weight top for cooler days. the snap collar looks nice open. i plan on washing on delicate and hanging up to dry. i never dry clean anything except wool suits and coats.",positive
"Love the pockets and back of dress. the buttons on the the straps allow for them to be adjusted. that's a plus. i'm 5'3"" with an athletic build at 34d. the medium fits perfect",positive
The pullover is very light weight material so great for fall or spring. it hangs nicely in front and back and is slimming. i ordered a medium other than the sleeves are not as long on me as the model it fits perfectly.,positive
